,Specialization,Doctor_Name,Experience,Location,Consultation_fee,Rating,Review,Hospital_Name
0,['Orthopedist2'],Dr. Arun Kumar Nadimpalli,24 years experience overall,"Somajiguda,Hyderabad",₹600,90% ,12 Patient Stories,Assisted Surgery Experience
1,['General Surgeon2'],Dr. Rajeshwar Kamineni,25 years experience overall,"Kondapur,Hyderabad",₹600,100% ,27 Patient Stories,Assisted Surgery Experience
2,['General Surgeon1'],Dr. Mohd Ilyas,15 years experience overall,"Himayat Nagar,Hyderabad",₹499,87% ,13 Patient Stories,Assisted Surgery Experience
3,['Orthopedist1'],Dr. Kaushik B K,10 years experience overall,"SR Nagar,Hyderabad",₹500,67% ,NaN,Assisted Surgery Experience
4,['General Surgeon1'],Dr. Parvez Ansari,19 years experience overall,"Banjara Hills,Hyderabad",₹499,100% ,4 Patient Stories,Assisted Surgery Experience
5,['Plastic Surgeon1'],Dr. Beena Valandi,13 years experience overall,"SR Nagar,Hyderabad",₹699,100% ,2 Patient Stories,Assisted Surgery Experience
6,['Ophthalmologist3'],Dr. Syed Siddique Hussain,30 years experience overall,"Santosh Nagar,Hyderabad",₹499,100% ,1 Patient Story,Assisted Surgery Experience
7,['Ophthalmologist1'],Dr. Sushanth Bachu,13 years experience overall,"Secunderabad,Hyderabad",₹499,100% ,2 Patient Stories,Assisted Surgery Experience
8,['Plastic Surgeon'],Dr. Veena Priya D,8 years experience overall,"Kothapet,Hyderabad",₹699,NaN,NaN,Assisted Surgery Experience
9,['Plastic Surgeon1'],Dr. Harikiran Chekuri,17 years experience overall,"Gachibowli,Hyderabad",₹699,97% ,488 Patient Stories,Assisted Surgery Experience
10,['Orthopedist2'],Dr. Ajay Kumar Tiwari,21 years experience overall,"Somajiguda,Hyderabad",₹600,100% ,1 Patient Story,Assisted Surgery Experience
11,['Internal Medicine1'],Dr. Shaeq Mirza,17 years experience overall,"Hyderguda,Hyderabad",₹600,98% ,11 Patient Stories,Assisted Surgery Experience
12,['General Physician2'],Dr. Syed Athar Hussain,29 years experience overall,"Kondapur,Hyderabad",₹550,93% ,30 Patient Stories,Assisted Surgery Experience
13,['General Physician3'],Dr. Indira Ramasahayam Reddy,36 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,5 Patient Stories,Assisted Surgery Experience
14,['General Physician1'],Dr. Murali Yelchuri,17 years experience overall,"Miyapur,Hyderabad",₹600,91% ,15 Patient Stories,Assisted Surgery Experience
15,['General Physician4'],Dr. Vasanth Kumar,45 years experience overall,"Jubilee Hills,Hyderabad",₹600,67% ,5 Patient Stories,Assisted Surgery Experience
16,['General Physician4'],Dr. S.Bhattacharjee,44 years experience overall,"Secunderabad,Hyderabad",₹600,89% ,10 Patient Stories,Assisted Surgery Experience
17,['Neurologist2'],Dr. Neehar Potluri,23 years experience overall,"Kukatpally,Hyderabad",₹500,98% ,447 Patient Stories,Assisted Surgery Experience
18,['General Physician2'],Dr. Neelwanti Soni,20 years experience overall,"Kondapur,Hyderabad",₹450,88% ,160 Patient Stories,Assisted Surgery Experience
19,['Internal Medicine2'],Dr. Jaganmani Sreekanth,29 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,6 Patient Stories,Assisted Surgery Experience
20,['Gastroenterologist1'],Dr. Seetharam Kumar D,27 years experience overall,"Nizampet,Hyderabad",₹500,99% ,208 Patient Stories,Cosmedent Speciality Dental Clinic
21,['Internal Medicine2'],Dr. Kembavi Srinivas,37 years experience overall,"KPHB,Hyderabad",₹800,96% ,837 Patient Stories,Cosmedent Speciality Dental Clinic
22,['General Physician4'],Dr. L Kiran Kumar   (Physiotherapist),17 years experience overall,"KPHB,Hyderabad",₹300,98% ,180 Patient Stories,Cosmedent Speciality Dental Clinic
23,['General Physician2'],Dr. M. S. Sushma Susik,32 years experience overall,"Mehdipatnam,Hyderabad",₹300,98% ,431 Patient Stories,Cosmedent Speciality Dental Clinic
24,['Internal Medicine2'],Dr. Sruthi Gondi,13 years experience overall,"Secunderabad,Hyderabad",₹700,93% ,178 Patient Stories,Cosmedent Speciality Dental Clinic
25,['General PhysicianSpecial Interest in Diabetology1'],Dr. Radha Penumatsa,10 years experience overall,"Kompally,Hyderabad",₹500,100% ,17 Patient Stories,Cosmedent Speciality Dental Clinic
26,['General Physician1'],Dr. Durga Vytla,14 years experience overall,"Miyapur,Hyderabad",₹600,98% ,154 Patient Stories,Cosmedent Speciality Dental Clinic
27,['General Physician4'],Dr. K Sandeep Reddy,15 years experience overall,"Manikonda,Hyderabad",₹500,79% ,25 Patient Stories,Cosmedent Speciality Dental Clinic
28,['Internal Medicine3'],Dr. Rajesh Kumar Enagala,25 years experience overall,"Banjara Hills,Hyderabad",₹650,100% ,20 Patient Stories,Cosmedent Speciality Dental Clinic
29,['Internal Medicine3'],Dr. J. Rakee Purnima,14 years experience overall,"LB Nagar,Hyderabad",₹400,98% ,217 Patient Stories,Cosmedent Speciality Dental Clinic
30,['\xa0Homoeopath5'],Dr. Subhash Chander,51 years experience overall,"Jeedimetla,Hyderabad",₹700,94% ,216 Patient Stories,New Life Speciality Homeo Care
31,['General Physician3'],Dr. Ganesh Yadala,37 years experience overall,"Jubilee Hills,Hyderabad",₹1000,33% ,2 Patient Stories,New Life Speciality Homeo Care
32,['General Physician3'],Dr. Srinivas Chakravarthy Gummaraju,34 years experience overall,"Jubilee Hills,Hyderabad",₹1000,NaN,NaN,New Life Speciality Homeo Care
33,['General Physician2'],Dr. L Sunandhini,26 years experience overall,"Ameerpet,Hyderabad",₹600,94% ,6 Patient Stories,New Life Speciality Homeo Care
34,['General Physician2'],Dr. Surya Pavan Reddy,26 years experience overall,"Jubilee Hills,Hyderabad",₹1000,100% ,1 Patient Story,New Life Speciality Homeo Care
35,['General Physician1'],Dr. Naveen Kumar Pothireddy,14 years experience overall,"Hitech City,Hyderabad",₹500,100% ,21 Patient Stories,New Life Speciality Homeo Care
36,['General Physician2'],Dr. Yakkala Suresh Babu,20 years experience overall,"Jubilee Hills,Hyderabad",₹800,82% ,3 Patient Stories,New Life Speciality Homeo Care
37,['Internal Medicine1'],Dr. Prathima Chilukuri,18 years experience overall,"Nallagandla,Hyderabad",₹800,98% ,101 Patient Stories,New Life Speciality Homeo Care
38,['General Physician3'],Dr. S. Ravindra Kumar,31 years experience overall,"Ameerpet,Hyderabad",₹500,75% ,6 Patient Stories,New Life Speciality Homeo Care
39,['General Physician2'],Dr. D.Uma Sreedevi,27 years experience overall,"Ameerpet,Hyderabad",₹700,80% ,3 Patient Stories,New Life Speciality Homeo Care
40,['Internal Medicine2'],Dr. Ravikiran Abraham Barigala,23 years experience overall,"Jubilee Hills,Hyderabad",₹1500,NaN,NaN,Apollo Hospitals
41,['Internal Medicine2'],Dr. Pramati Reddy,28 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,NaN,Apollo Hospitals
42,['General Physician2'],Dr. P. Gautam,28 years experience overall,"Habsiguda,Hyderabad",₹500,99% ,46 Patient Stories,Apollo Hospitals
43,['Cardiologist2'],Dr. Ganesh Mathan,26 years experience overall,"Lingampally,Hyderabad",₹700,95% ,394 Patient Stories,Apollo Hospitals
44,['Internal Medicine2'],Dr. Lakshmi Godavarthy,25 years experience overall,"Jubilee Hills,Hyderabad",₹800,78% ,5 Patient Stories,Apollo Hospitals
45,['Internal Medicine2'],Dr. Srinivas Yadavalli,24 years experience overall,"Jubilee Hills,Hyderabad",₹800,80% ,5 Patient Stories,Apollo Hospitals
46,['General Physician3'],Dr. B Ramulu,36 years experience overall,"Secunderabad,Hyderabad",₹600,80% ,7 Patient Stories,Apollo Hospitals
47,['General Physician4'],Dr. Lalitha Devi Nori,43 years experience overall,"Nizampet,Hyderabad",₹400,100% ,16 Patient Stories,Apollo Hospitals
48,['General Physician1'],Dr. Vivek Belde,16 years experience overall,"AS Rao Nagar,Hyderabad",₹650,95% ,12 Patient Stories,Apollo Hospitals
49,['General Physician2'],Dr. Gowri Sankar Bapanapalli,25 years experience overall,"Kukatpally,Hyderabad",₹750,100% ,25 Patient Stories,Apollo Hospitals
50,['Internal Medicine1'],Dr. Pavan Kumar Bichal,35 years experience overall,"Jubilee Hills,Hyderabad",₹1000,80% ,3 Patient Stories,Apollo Hospitals
51,['General Physician1'],Dr. B.Imran Khan,15 years experience overall,"Banjara Hills,Hyderabad",₹350,100% ,27 Patient Stories,Apollo Hospitals
52,['General PractitionerSpecial Interest in Diabetology1'],Dr. Susmitha Gundavaram,22 years experience overall,"KPHB,Hyderabad",₹500,98% ,118 Patient Stories,Apollo Hospitals
53,['General Physician2'],Dr. Mithil B Ghushe,20 years experience overall,"Hitech City,Hyderabad",₹500,92% ,13 Patient Stories,Apollo Hospitals
54,['General Physician1'],Dr. D.Vidyasagar,22 years experience overall,"Secunderabad,Hyderabad",₹800,99% ,165 Patient Stories,Apollo Hospitals
55,['General PhysicianSpecial Interest in Diabetology2'],Dr. Chetan Raj,12 years experience overall,"Begumpet,Hyderabad",₹51,97% ,306 Patient Stories,Apollo Hospitals
56,['General Physician1'],Dr. Archana A,16 years experience overall,"Kukatpally,Hyderabad",₹600,96% ,99 Patient Stories,Apollo Hospitals
57,['Internal Medicine2'],Dr. Lavanya B,17 years experience overall,"Madhapur,Hyderabad",₹400,93% ,96 Patient Stories,Apollo Hospitals
58,['General PhysicianSpecial Interest in Diabetology2'],Dr. Nataraj Perumalla,19 years experience overall,"Alwal,Hyderabad",₹500,96% ,18 Patient Stories,Apollo Hospitals
59,['General Physician1'],Dr. Asfiya Kulsum,7 years experience overall,"Gachibowli,Hyderabad",₹2000,91% ,11 Patient Stories,Apollo Hospitals
60,['General Physician1'],Dr. Srikar Krishna,11 years experience overall,"Nizampet,Hyderabad",₹500,100% ,1 Patient Story,Apollo Clinic
61,['General Physician1'],Dr. Usha Gaddam,15 years experience overall,"Manikonda,Hyderabad",₹500,73% ,4 Patient Stories,Apollo Clinic
62,['General Physician1'],Dr. Rahul Gandhi Godisela,19 years experience overall,"Attapur,Hyderabad",₹300,93% ,15 Patient Stories,Apollo Clinic
63,['General PhysicianSpecial Interest in Diabetology1'],Dr. Prashanth Chandra NY,Special Interest in Diabetology,"Srinagar Colony,Hyderabad",₹450,85% ,21 Patient Stories,Apollo Clinic
64,['General Physician1'],Dr. Anil Kotamreddy,19 years experience overall,"Kondapur,Hyderabad",₹900,100% ,2 Patient Stories,Apollo Clinic
65,['General Physician2'],Dr. Srinivas Jakkinaboina,25 years experience overall,"Narsingi,Hyderabad",₹500,75% ,1 Patient Story,Apollo Clinic
66,['General Physician1'],Dr. Aashritha Mekala,11 years experience overall,"Attapur,Hyderabad",₹300,100% ,25 Patient Stories,Apollo Clinic
67,['Pulmonologist1'],Dr. Sharath Chandra,11 years experience overall,"Santosh Nagar,Hyderabad",₹800,100% ,6 Patient Stories,Apollo Clinic
68,['General Physician2'],Dr. Vinod Kumar Reddy M,20 years experience overall,"Hitech City,Hyderabad",₹600,100% ,NaN,Apollo Clinic
69,['General Physician1'],Dr. Harish Kadarala,19 years experience overall,"Chanda Nagar,Hyderabad",₹550,NaN,NaN,Apollo Clinic
70,['General Physician1'],Dr. Neehar Potluri,23 years experience overall,"Kukatpally,Hyderabad",₹500,98% ,447 Patient Stories,Neehar Neuro Centre
71,['General Physician1'],Ms. Archana Nanduri,11 years experience overall,"Nagole,Hyderabad",₹1000,99% ,52 Patient Stories,Neehar Neuro Centre
72,['General Physician'],Dr. Phani Kumar,30 years experience overall,"Secunderabad,Hyderabad",₹200,97% ,148 Patient Stories,Neehar Neuro Centre
73,['General Physician2'],Dr. Anil Kumar,20 years experience overall,"Boduppal,Hyderabad",₹300,98% ,130 Patient Stories,Neehar Neuro Centre
74,['Sexologist3'],Dr. K Kiran Kumar,26 years experience overall,"Kondapur,Hyderabad",₹300,99% ,415 Patient Stories,Neehar Neuro Centre
75,['General Physician1'],Dr. Padmaja Lokireddy,25 years experience overall,"Jubilee Hills,Hyderabad",₹1000,83% ,7 Patient Stories,Neehar Neuro Centre
76,['Internal Medicine1'],Dr. D Suresh,11 years experience overall,"Himayat Nagar,Hyderabad",₹1000,100% ,11 Patient Stories,Neehar Neuro Centre
77,['General Physician3'],Dr. Murali Yelchuri,17 years experience overall,"Miyapur,Hyderabad",₹600,91% ,15 Patient Stories,Neehar Neuro Centre
78,['Internal Medicine1'],Dr. D. Anjani Kumari,15 years experience overall,"Nagole,Hyderabad",₹300,75% ,2 Patient Stories,Neehar Neuro Centre
79,['General Physician1'],Dr. D.Uma Sreedevi,27 years experience overall,"Ameerpet,Hyderabad",₹700,80% ,3 Patient Stories,Neehar Neuro Centre
80,['General Physician'],Dr. Kiran Macha,7 years experience overall,"Secunderabad,Hyderabad",₹900,NaN,NaN,Apollo Hospital
81,['General Physician'],Dr. Susan Darla,4 years experience overall,"Uppal,Hyderabad",₹450,100% ,NaN,Apollo Hospital
82,['General Physician1'],Dr. J. Shiva Prasad,13 years experience overall,"LB Nagar,Hyderabad",₹500,100% ,1 Patient Story,Apollo Hospital
83,['General Physician1'],Dr. Sai Kiran Thipparthi,12 years experience overall,"Kondapur,Hyderabad",₹500,100% ,6 Patient Stories,Apollo Hospital
84,['General Physician1'],Dr. Markandeya Akurathi,13 years experience overall,"Kukatpally,Hyderabad",₹400,100% ,8 Patient Stories,Apollo Hospital
85,['Internal Medicine1'],Dr. M.Ramanjaneyulu,10 years experience overall,"Champapet,Hyderabad",₹500,NaN,NaN,Apollo Hospital
86,['General Physician1'],Dr. Shruti Deshpande,11 years experience overall,"Sun city,Hyderabad",₹500,100% ,5 Patient Stories,Apollo Hospital
87,['General Physician1'],Dr. K Naga Jyothi,18 years experience overall,"Kanchanbagh,Hyderabad",₹500,50% ,4 Patient Stories,Apollo Hospital
88,['General Physician1'],Dr. Haricharan Modem,13 years experience overall,"KPHB,Hyderabad",₹100,100% ,1 Patient Story,Apollo Hospital
89,['General Physician1'],Dr. E Priyatham,10 years experience overall,"Uppal,Hyderabad",₹500,100% ,2 Patient Stories,Apollo Hospital
90,['GastroIntestinal Surgeon2'],Dr. Ashok Vardhan K,6 years experience overall,"Vanasthalipuram,Hyderabad",₹500,100% ,2 Patient Stories,Sriyansh Clinic
91,[''],Dr. S Raghavender,12 years experience overall,"Nacharam,Hyderabad",₹500,100% ,15 Patient Stories,Sriyansh Clinic
92,['Physiotherapist'],Dr. Gouraiah,11 years experience overall,"Boduppal,Hyderabad",₹500,100% ,4 Patient Stories,Sriyansh Clinic
93,['Gynecologist/Obstetrician2'],Dr. Srikanth Boini,10 years experience overall,"Miyapur,Hyderabad",₹600,92% ,15 Patient Stories,Sriyansh Clinic
94,['Dermatologist1'],Dr. Mohammed Parvez,22 years experience overall,"East Marredpally,Hyderabad",₹800,100% ,2 Patient Stories,Sriyansh Clinic
95,['Endocrinologist1'],Dr. Mohd Ifthekar Mohiuddin,15 years experience overall,"Mehdipatnam,Hyderabad",₹550,NaN,NaN,Sriyansh Clinic
96,['Gynecologist/Obstetrician2'],Dr. M.Chandrakanth Rao,27 years experience overall,"Boduppal,Hyderabad",₹850,80% ,4 Patient Stories,Sriyansh Clinic
97,['Pediatrician1'],Dr. Mohd Ghouse Mohiuddin,15 years experience overall,"Mehdipatnam,Hyderabad",₹500,100% ,1 Patient Story,Sriyansh Clinic
98,['Ear-Nose-Throat (ENT) Specialist'],Dr. Abhinandana,12 years experience overall,"Kondapur,Hyderabad",₹500,100% ,1 Patient Story,Sriyansh Clinic
99,['Dermatologist1'],Dr. Vandana,17 years experience overall,"Nizampet,Hyderabad",₹500,NaN,NaN,Sriyansh Clinic
100,['General Physician3'],Dr. G.V. Rajgopal,31 years experience overall,"Kukatpally,Hyderabad",₹1000,NaN,NaN,Amor Hospitals
101,['General Physician1'],Dr. Ranga Srikanth,17 years experience overall,"Mehdipatnam,Hyderabad",₹550,NaN,NaN,Amor Hospitals
102,['General Physician1'],Dr. Mubashir Ahmed,14 years experience overall,"Mehdipatnam,Hyderabad",₹500,NaN,NaN,Amor Hospitals
103,['General Physician1'],Dr. A Harshavardhan,13 years experience overall,"Hitech City,Hyderabad",₹600,NaN,NaN,Amor Hospitals
104,['General Physician'],Dr. Dolla Raja Ramesh,7 years experience overall,"Attapur,Hyderabad",₹600,NaN,NaN,Amor Hospitals
105,['Internal Medicine'],Dr. Teja C,3 years experience overall,"Kukatpally,Hyderabad",₹500,NaN,NaN,Amor Hospitals
106,['General Physician'],Dr. Swathi Prathipati,7 years experience overall,"Banjara Hills,Hyderabad",₹600,NaN,NaN,Amor Hospitals
107,['General Physician'],Dr. Nimmagadda Viraja,8 years experience overall,"Mehdipatnam,Hyderabad",₹550,NaN,NaN,Amor Hospitals
108,['General Physician2'],Dr. Annam Sridhar,26 years experience overall,"Jubilee Hills,Hyderabad",₹1000,NaN,NaN,Amor Hospitals
109,['General Physician1'],Dr. Cymantha Bandameedi,12 years experience overall,"Kondapur,Hyderabad",₹600,NaN,NaN,Amor Hospitals
110,['Neurologist1'],Dr. P.Chandra Shekar,14 years experience overall,"Nacharam,Hyderabad",₹600,67% ,9 Patient Stories,S.S. Neuro Care Centre
111,['General Physician'],Dr. Kotamarthi Ravi Teja,5 years experience overall,"Gachibowli,Hyderabad",₹600,NaN,NaN,S.S. Neuro Care Centre
112,['General Physician'],Dr. Harish Kumar J,4 years experience overall,"Madinaguda,Hyderabad",₹700,NaN,NaN,S.S. Neuro Care Centre
113,['General Physician1'],Dr. R.N.V. Vamsi Krishna,14 years experience overall,"Nacharam,Hyderabad",₹500,67% ,2 Patient Stories,S.S. Neuro Care Centre
114,['General Physician1'],Dr. Talacheru Srinivasulu,18 years experience overall,"Madhapur,Hyderabad",₹550,NaN,NaN,S.S. Neuro Care Centre
115,['General Physician1'],Dr. Nithin Reddy,10 years experience overall,"Suchitra Circle,Hyderabad",₹400,100% ,19 Patient Stories,S.S. Neuro Care Centre
116,['General Physician4'],Dr. S. Mahalakshmi,40 years experience overall,"Mehdipatnam,Hyderabad",₹500,100% ,135 Patient Stories,S.S. Neuro Care Centre
117,['General Physician1'],Dr. Vikram Cheryala,12 years experience overall,"Kokapet,Hyderabad",₹600,99% ,208 Patient Stories,S.S. Neuro Care Centre
118,['General Physician2'],Dr. I V Siva Prasad,20 years experience overall,"Narsingi,Hyderabad",₹500,98% ,39 Patient Stories,S.S. Neuro Care Centre
119,['Internal Medicine1'],Dr. Suram Vasanth Kumar,17 years experience overall,"Uppal,Hyderabad",₹500,100% ,7 Patient Stories,S.S. Neuro Care Centre
120,['General Physician1'],Dr. Sivani Payneni,16 years experience overall,"Serilingampally,Hyderabad",₹650,100% ,32 Patient Stories,Apollo Sugar Clinics
121,['General Physician1'],Dr. Y Sridhar,19 years experience overall,"Kondapur,Hyderabad",₹600,100% ,20 Patient Stories,Apollo Sugar Clinics
122,['General Physician2'],Dr. N.V. Ramana Rao,26 years experience overall,"Nallagandla,Hyderabad",₹1000,99% ,490 Patient Stories,Apollo Sugar Clinics
123,['General Physician1'],Dr. Rajeev Prasad,10 years experience overall,"Karmanghat,Hyderabad",₹500,96% ,24 Patient Stories,Apollo Sugar Clinics
124,['General Physician1'],Dr. Satyanarayana Batari,13 years experience overall,"Chanda Nagar,Hyderabad",₹1000,66% ,21 Patient Stories,Apollo Sugar Clinics
125,['General Physician2'],Dr. Fini Ani Philip,29 years experience overall,"KPHB,Hyderabad",₹500,100% ,102 Patient Stories,Apollo Sugar Clinics
126,['Pathologist4'],Dr. Bhavani M,44 years experience overall,"Amberpet,Hyderabad",₹500,100% ,1 Patient Story,Apollo Sugar Clinics
127,['Dermatologist1'],Dr. Vritika Gaddam,13 years experience overall,"Banjara Hills,Hyderabad",₹1000,97% ,28 Patient Stories,Apollo Sugar Clinics
128,['General Physician1'],Dr. (Maj) D Dheeraj Reddy,12 years experience overall,"Vanasthalipuram,Hyderabad",₹500,92% ,29 Patient Stories,Apollo Sugar Clinics
129,['General Physician1'],Dr. V A Prasad,14 years experience overall,"Banjara Hills,Hyderabad",₹1200,97% ,31 Patient Stories,Apollo Sugar Clinics
130,['General Physician1'],Dr. Sushmitha,28 years experience overall,"Ameerpet,Hyderabad",₹600,95% ,25 Patient Stories,Aster Prime Hospital
131,['General Physician4'],Dr. Nidhi Nair,42 years experience overall,"Chanda Nagar,Hyderabad",₹650,88% ,46 Patient Stories,Aster Prime Hospital
132,['General Physician2'],Dr. Prashant K Vaidya,14 years experience overall,"Chanda Nagar,Hyderabad",₹500,95% ,854 Patient Stories,Aster Prime Hospital
133,['General Physician1'],Dr. G.C.Malakondaiah,44 years experience overall,"Lakdikapul,Hyderabad",₹950,100% ,6 Patient Stories,Aster Prime Hospital
134,['General Physician1'],Dr. Sirisha Yanegalla,13 years experience overall,"Kondapur,Hyderabad",₹600,97% ,147 Patient Stories,Aster Prime Hospital
135,['General Physician1'],Dr. Jhansi,10 years experience overall,"Kondapur,Hyderabad",₹200,NaN,NaN,Aster Prime Hospital
136,['General Practitioner1'],Dr. Andal Reddy,23 years experience overall,"Manikonda,Hyderabad",₹500,95% ,84 Patient Stories,Aster Prime Hospital
137,['General Physician1'],Dr. Radhika Reddy Pingili,25 years experience overall,"Kondapur,Hyderabad",₹700,97% ,171 Patient Stories,Aster Prime Hospital
138,['General Physician'],Dr. Y. Venkata Ramana,27 years experience overall,"Banjara Hills,Hyderabad",₹700,98% ,118 Patient Stories,Aster Prime Hospital
139,['General Physician1'],Dr. G L Sitara,13 years experience overall,"Madinaguda,Hyderabad",₹500,97% ,281 Patient Stories,Aster Prime Hospital
140,['General Physician4'],Dr. V.S.Pearlin,17 years experience overall,"Madhapur,Hyderabad",₹600,100% ,6 Patient Stories,Idea Clinics
141,['Dentist3'],Dr. C Sairam,34 years experience overall,"Chapel Road,Hyderabad",₹550,100% ,NaN,Idea Clinics
142,['Gynecologist/Obstetrician'],Dr. M. Chandra Sekhar,Special Interest in Diabetology,"Chintal,Hyderabad",₹300,100% ,78 Patient Stories,Idea Clinics
143,['Gynecologist/Obstetrician4'],Dr. Shashidhar Kumar,12 years experience overall,"Uppal,Hyderabad",₹500,100% ,6 Patient Stories,Idea Clinics
144,['Neurosurgeon1'],Dr. Vimal Rai,55 years experience overall,"Chapel Road,Hyderabad",₹550,95% ,35 Patient Stories,Idea Clinics
145,['Dietitian/Nutritionist3'],Dr. Mirza Aziz Baig,Special Interest in Diabetology,"Chanda Nagar,Hyderabad",₹600,96% ,116 Patient Stories,Idea Clinics
